Designator,Mid X,Mid Y,Rotation,Layer
D149,62.91,-67.45,180.0,top
D150,75.677,-112.534,90.0,top
D30,49.149,-40.742,180.0,top
D31,52.705,-40.742,180.0,top
D32,56.261,-40.742,180.0,top
D33,56.9775,-112.6465,90.0,top
D34,56.9775,-116.2025,90.0,top
D35,73.152,-81.484845,180.0,top
D36,69.596,-81.484845,180.0,top
D37,66.04,-81.484845,180.0,top
D38,62.484,-81.484845,180.0,top
D39,58.905,-81.484845,180.0,top
D40,55.372,-81.482845,180.0,top
D41,51.816,-81.484845,180.0,top
D42,48.26,-81.486845,180.0,top
D43,48.26,-95.183595,180.0,top
D44,51.816,-95.183595,180.0,top
D45,55.395,-95.183595,180.0,top
D46,66.466,-67.45,180.0,top
D47,70.022,-67.45,180.0,top
D48,73.578,-67.45,180.0,top
D49,75.677,-116.09,90.0,top
D50,75.677,-119.646,90.0,top
D51,75.677,-123.202,90.0,top
D63,76.325,-33.898,90.0,top
D89,76.325,-37.477,90.0,top
D90,76.325,-41.033,90.0,top
D91,76.325,-44.589,90.0,top
D92,76.325,-48.145,90.0,top
D93,76.325,-51.701,90.0,top
Q100,62.484,-90.120845,90.0,top
Q101,58.928,-86.056845,270.0,top
Q102,58.928,-90.120845,90.0,top
Q103,55.372,-86.056845,270.0,top
Q104,55.372,-90.120845,90.0,top
Q105,51.816,-86.056845,270.0,top
Q106,51.816,-90.120845,90.0,top
Q107,48.26,-86.056845,270.0,top
Q108,48.26,-90.120845,90.0,top
Q109,73.152,-99.834095,270.0,top
Q110,73.152,-103.898095,90.0,top
Q111,69.596,-99.834095,270.0,top
Q112,69.596,-103.898095,90.0,top
Q113,66.04,-99.834095,270.0,top
Q114,66.04,-103.898095,90.0,top
Q115,62.484,-99.834095,270.0,top
Q116,62.484,-103.898095,90.0,top
Q117,58.928,-99.834095,270.0,top
Q118,58.928,-103.898095,90.0,top
Q119,55.372,-99.834095,270.0,top
Q120,55.372,-103.898095,90.0,top
Q121,51.816,-99.834095,270.0,top
Q122,51.816,-103.898095,90.0,top
Q123,48.26,-99.834095,270.0,top
Q124,48.26,-103.898095,90.0,top
Q125,52.4055,-112.6465,180.0,top
Q126,48.3415,-112.6465,0.0,top
Q127,52.4055,-116.2025,180.0,top
Q128,48.3415,-116.2025,0.0,top
Q129,49.149,-45.314,270.0,top
Q130,49.149,-49.378,90.0,top
Q131,52.705,-45.314,270.0,top
Q132,52.705,-49.378,90.0,top
Q133,56.261,-45.314,270.0,top
Q134,56.261,-49.378,90.0,top
Q135,71.6745,-33.921,180.0,top
Q136,67.6105,-33.921,0.0,top
Q137,71.6745,-37.477,180.0,top
Q138,67.6105,-37.477,0.0,top
Q139,71.6745,-41.033,180.0,top
Q140,67.6105,-41.033,0.0,top
Q141,71.6745,-44.589,180.0,top
Q142,67.6105,-44.589,0.0,top
Q143,71.6745,-48.145,180.0,top
Q144,67.6105,-48.145,0.0,top
Q145,71.6745,-51.701,180.0,top
Q146,67.6105,-51.701,0.0,top
Q147,71.6745,-55.257,180.0,top
Q148,67.6105,-55.257,0.0,top
Q149,71.6745,-58.813,180.0,top
Q150,67.6105,-58.813,0.0,top
Q151,52.4055,-119.7585,180.0,top
Q152,48.3415,-119.7585,0.0,top
Q153,48.686,-72.022,270.0,top
Q154,48.686,-76.086,90.0,top
Q155,52.242,-72.022,270.0,top
Q156,52.242,-76.086,90.0,top
Q157,55.798,-72.022,270.0,top
Q158,55.798,-76.086,90.0,top
Q159,59.354,-72.022,270.0,top
Q160,59.354,-76.086,90.0,top
Q161,62.91,-72.022,270.0,top
Q162,62.91,-76.086,90.0,top
Q163,66.466,-72.022,270.0,top
Q164,66.466,-76.086,90.0,top
Q165,70.022,-72.022,270.0,top
Q166,70.022,-76.086,90.0,top
Q167,73.578,-72.022,270.0,top
Q168,73.578,-76.086,90.0,top
Q169,71.105,-112.534,180.0,top
Q170,67.041,-112.534,0.0,top
Q171,71.105,-116.09,180.0,top
Q172,67.041,-116.09,0.0,top
Q173,71.105,-119.646,180.0,top
Q174,67.041,-119.646,0.0,top
Q175,71.105,-123.202,180.0,top
Q176,67.041,-123.202,0.0,top
Q93,73.152,-90.120845,90.0,top
Q94,73.152,-86.056845,270.0,top
Q95,69.596,-86.056845,270.0,top
Q96,69.596,-90.120845,90.0,top
Q97,66.04,-86.056845,270.0,top
Q98,66.04,-90.120845,90.0,top
Q99,62.484,-86.056845,270.0,top
R1,72.136,-83.008845,90.0,top
R10,51.689,-42.266,90.0,top
R107,73.152,-83.008845,90.0,top
R108,69.596,-83.008845,90.0,top
R109,74.801,-33.921,0.0,top
R11,55.245,-42.266,90.0,top
R110,66.04,-83.008845,90.0,top
